host_hostname,disk_bytes_read,disk_bytes_written,elapsed_time,name,path,start_time
NANO0101,27.51 GB,3.12 GB,32,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-06 18:42:57
NANO0101,282.4 KB,800 bytes,32,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-06 18:42:57
NANO0101,16.02 GB,4.57 GB,32,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-06 18:42:57
NANO0101,2.18 MB,0 bytes,32,igfxCUIService.exe,C:\Windows\System32\igfxCUIService.exe,2021-11-06 18:42:58
NANO0101,75.61 MB,88.4 MB,32,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-06 18:42:59
NANO0101,560.89 KB,320 bytes,32,spoolsv.exe,C:\Windows\System32\spoolsv.exe,2021-11-06 18:43:00
NANO0101,622.06 KB,551.94 KB,32,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-06 18:43:00
NANO0101,131.26 MB,792 bytes,32,CSFalconService.exe,C:\Program Files\CrowdStrike\CSFalconService.exe,2021-11-06 18:43:00
NANO0101,727.21 KB,1.83 KB,32,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-06 18:43:00
NANO0101,29.95 KB,160 bytes,32,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-06 18:43:00
NANO0101,11.04 MB,12.11 MB,32,wrapper.exe,C:\Program Files\SSM\SuperDoctor5\wrapper.exe,2021-11-06 18:43:01
NANO0101,359.32 KB,0 bytes,32,conhost.exe,C:\Windows\System32\conhost.exe,2021-11-06 18:43:01
NANO0101,40.14 GB,7.52 GB,32,ccSvcHst.exe,C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\12.1.7061.6600.105\Bin\ccSvcHst.exe,2021-11-06 18:43:01
NANO0101,26.1 MB,173.84 KB,32,CSFalconContainer.exe,C:\Program Files\CrowdStrike\CSFalconContainer.exe,2021-11-06 18:43:01
NANO0101,82.03 GB,20.68 MB,32,java.exe,C:\Program Files\SSM\jre\bin\java.exe,2021-11-06 18:43:02
NANO0101,24.77 MB,12.45 MB,32,miragent.exe,C:\Program Files (x86)\MANDIANT\MANDIANT Intelligent Response Agent\miragent.exe,2021-11-06 18:43:09
