_id,disk_bytes_read,disk_bytes_written,elapsed_time,host_hostname,name,path,start_time
619db92e73459a10a4a1fed0,-1 bytes,-1 bytes,0,Sack,[System Process],,1969-12-31 23:59:59
619db92e73459a10a4a1fed1,497.29 MB,4.65 GB,23,Sack,System,,2021-10-24 23:22:59
619db92e73459a10a4a1fed2,57.66 KB,20 bytes,23,Sack,smss.exe,C:\Windows\System32\smss.exe,2021-10-24 23:22:59
619db92e73459a10a4a1fed3,19.79 MB,0 bytes,23,Sack,csrss.exe,C:\Windows\System32\csrss.exe,2021-10-24 23:23:04
619db92e73459a10a4a1fed4,7.17 KB,0 bytes,23,Sack,wininit.exe,C:\Windows\System32\wininit.exe,2021-10-24 23:23:06
619db92e73459a10a4a1fed5,48.97 MB,346.42 MB,23,Sack,services.exe,C:\Windows\System32\services.exe,2021-10-24 23:23:06
619db92e73459a10a4a1fed6,75.13 MB,105.75 MB,23,Sack,lsass.exe,C:\Windows\System32\lsass.exe,2021-10-24 23:23:06
619db92e73459a10a4a1fed7,0 bytes,0 bytes,23,Sack,lsm.exe,C:\Windows\System32\lsm.exe,2021-10-24 23:23:06
619db92e73459a10a4a1fed8,172.87 MB,25.2 KB,23,Sack,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:10
619db92e73459a10a4a1fed9,0 bytes,0 bytes,23,Sack,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:10
619db92e73459a10a4a1feda,344.81 MB,58.95 MB,23,Sack,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:10
619db92e73459a10a4a1fedb,1.18 GB,1.62 GB,23,Sack,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:10
619db92e73459a10a4a1fedc,81.93 KB,1.8 KB,23,Sack,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:10
619db92e73459a10a4a1fedd,20.83 GB,2.06 GB,23,Sack,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:10
619db92e73459a10a4a1fede,69 bytes,33 bytes,23,Sack,stacsv64.exe,C:\Program Files\IDT\WDM\stacsv64.exe,2021-10-24 23:23:10
619db92e73459a10a4a1fedf,254.94 MB,124.7 MB,23,Sack,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:12
619db92e73459a10a4a1fee0,1.27 KB,320 bytes,23,Sack,spoolsv.exe,C:\Windows\System32\spoolsv.exe,2021-10-24 23:23:12
619db92e73459a10a4a1fee1,388.69 MB,16.51 MB,23,Sack,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:12
619db92e73459a10a4a1fee2,285.88 KB,1.84 KB,23,Sack,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:12
619db92e73459a10a4a1fee3,1 byte,1.09 KB,23,Sack,HeciServer.exe,C:\Program Files\Intel\iCLS Client\HeciServer.exe,2021-10-24 23:23:12
619db92e73459a10a4a1fee4,0 bytes,0 bytes,23,Sack,Jhi_service.exe,C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL\Jhi_service.exe,2021-10-24 23:23:12
619db92e73459a10a4a1fee5,20.74 MB,3.41 GB,23,Sack,orbit.exe,C:\Program Files\Orbit\bin\orbit\orbit.exe,2021-10-24 23:23:13
619db92e73459a10a4a1fee6,262.16 KB,57.35 KB,23,Sack,osqueryd.exe,C:\Program Files\Orbit\bin\osqueryd\windows\stable\osqueryd.exe,2021-10-24 23:23:14
619db92e73459a10a4a1fee7,0 bytes,0 bytes,23,Sack,conhost.exe,C:\Windows\System32\conhost.exe,2021-10-24 23:23:14
619db92e73459a10a4a1fee8,597.74 GB,14.53 GB,23,Sack,ccSvcHst.exe,C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\14.2.1023.0100.105\Bin\ccSvcHst.exe,2021-10-24 23:23:14
